Human	dog	mouse	rat	zebrafish
CHMP1B	"CHMP1B,CHMP1A"	"2610002M06Rik,Chmp1a,Chmp1b"	"RGD1566265,Chmp1b,Chmp1a"	"chmp1b,chmp1a"
TCOF1	TCOF1	Tcof1	Tcof1	nolc1
NSRP1	NSRP1	Ccdc55	Nsrp1	nsrp1
SPPL3	SPPL3	Sppl3	Sppl3	sppl3
OPA3	OPA3	Opa3	Opa3	opa3
OPA1	LOC477129	Opa1	Opa1	"LOC100307079,opa1"
RNU6-1209P	U6	NO_ORTHO	NO_ORTHO	NO_ORTHO
RNU4ATAC18P	U4atac	NO_ORTHO	NO_ORTHO	U4atac
ITGA8	"ITGA8,ITGA2B,ITGA5,ITGAV"	"Itga8,Itga2b,Itga5,Itgav"	"Itga8,Itga2b,Itgav"	"itga8,itga5,itgav"
ITGA9	"ITGA9,ITGA4"	Itga9	"Itga9,Itga4"	"itga9,itga4"
AC108938.5	"LIMS2,LIMS1"	"Lims2,Lims1"	"Lims2,Wtip,Lims1"	"lims2,lims1"
ITGA1	"ITGA1,ITGA10,ITGA2"	"Itga1,Itga10,Itga11,Itga2"	"Itga1,Itga11"	"itga1,itga10,itga2.2,itga11b,itga11a"
ITGA2	"ITGA1,ITGA2,ITGA10"	"Itga1,Itga2,Itga11,Itga10"	"Itga2,Itga11"	"itga1,LOC100333484,itga10,itga11a,itga2.2,itga2.3,itga2.1"
ITGA3	"ITGA3,ITGA6,ITGA7"	Itga3	Itga3	"itga3a,itga3b"
ITGA4	"ITGA9,ITGA4"	"Itga9,Itga4"	Itga4	itga4
ITGA5	"ITGA8,ITGA5,ITGAV"	"Itga8,Itga2b,Itga5,Itgav"	"Itga8,Itga5,Itgav"	"itga5,itgav"
ITGA6	ITGA6	Itga6	Itga6	"itga6l,itga6b,itga6a,ITGA6 (4 of 4)"
ITGA7	"ITGA3,ITGA6,ITGA7"	"Itga3,Itga7"	"Itga3,Itga7"	"itga6b,itga6a,itga7"
TRHR	TRHR	Trhr	Trhr	"trhra,trhr2,trhrb"
UFSP1	UFSP1	Ufsp1	Ufsp1	ufsp1
UFSP2	UFSP2	Ufsp2	Ufsp2	ufsp2
C9orf40	"C9orf40,C1H9orf40"	D030056L22Rik	LOC499331	NO_ORTHO
TEX28P2	TEX28	Tex28	Tex28	NO_ORTHO
FAM212B	NO_ORTHO	Fam212b	Fam212b	"fam212aa,fam212b"
FAM212A	FAM212A	Fam212a	Fam212a	"fam212aa,fam212ab"
CHST9	CHST9	Chst9	Chst9	"chst8,si:ch211-269c21.2"
CHST8	CHST8	Chst8	Chst8	"chst8,si:ch211-269c21.2"
CHST1	CHST1	Chst1	Chst1	"chst1,si:ch73-62b13.1"
CHST3	CHST3	Chst3	Chst3	"chst3b,chst3a"
CHST2	CHST2	Chst2	Chst2	"chst2a,chst2b"
CHST5	"CHST4,CHST6"	"Chst5,Chst4"	"Chst5,Chst4"	zgc:194879
CHST4	"CHST4,CHST6"	"Chst5,Chst4"	"Chst5,Chst4"	zgc:194879
CHST7	CHST7	Chst7	Chst7	chst7
